NOMBRE_CLIENTE,TIPO_CLIENTE,ID_CLIENTE,EDAD,MIEMBRO_COMUNIDAD
Regenia Rex,EMPLEADO,17,38,T
Domenic Lavern,EMPLEADO,18,55,F
Ophelia Hettie,EMPLEADO,19,54,F
Antonio Lou,EMPLEADO,20,58,T
Ricky Fletcher,PROFESOR,21,32,T
Summer Vernie,PROFESOR,22,26,F
Paula Justin,ESTUDIANTE,23,97,T
Janna Jewell,EMPLEADO,24,66,T
Lucinda Micheal,PROFESOR,25,48,T
Laureen Tera,PROFESOR,26,83,F
Lonie Tim,PROFESOR,27,62,F
Luke Eduardo,PROFESOR,28,58,F
Barton Brittney,EMPLEADO,29,61,T
Clifford Eugenie,ESTUDIANTE,30,62,T
Dayton Nedra,ESTUDIANTE,31,56,T
Christa Clayton,EMPLEADO,32,47,F
Belva Merrill,PROFESOR,33,81,F
Lanette Lavern,EMPLEADO,34,25,F
Kathy Norbert,EMPLEADO,35,84,T
Edyth Gerard,PROFESOR,36,53,F
Anson Karlee,ESTUDIANTE,37,37,F
Albertina Esteban,ESTUDIANTE,38,85,F
Kerri Merrily,ESTUDIANTE,39,70,T
Branson Lyman,ESTUDIANTE,40,76,F
Bryce Ludwig,ESTUDIANTE,41,30,T
Beverly Nina,PROFESOR,42,18,T
Joy Dan,ESTUDIANTE,43,80,F
Nathan Harve,PROFESOR,44,37,T
James Scotty,PROFESOR,45,58,T
Fritz Marietta,PROFESOR,46,65,F
Inez Elizebeth,PROFESOR,47,41,T
Nestor Jamin,ESTUDIANTE,48,69,T
Allie Dee,EMPLEADO,49,27,F
Juan Noble,PROFESOR,50,62,F
Melody Juliet,EMPLEADO,51,73,F
Edmonia Mack,ESTUDIANTE,52,49,F
Jabari Serena,PROFESOR,53,67,F
Pedro Murray,PROFESOR,54,94,F
Alvis Marylou,PROFESOR,55,65,T
Jerome Mikayla,EMPLEADO,56,87,T
Melody Orvil,EMPLEADO,57,48,F
Alphonso Maxim,PROFESOR,58,43,T
Lonnie Jim,PROFESOR,59,32,F
Janae Maud,EMPLEADO,60,51,F
Diamond Anice,EMPLEADO,61,89,T
Meyer Matt,PROFESOR,62,98,F
Joshua Clarence,ESTUDIANTE,63,97,T
Chandra Garnett,ESTUDIANTE,64,68,F
Manda Nelson,ESTUDIANTE,65,66,T
Randi Nolan,ESTUDIANTE,66,93,F
Scott Reginald,PROFESOR,67,67,T
Charla Terence,EMPLEADO,68,32,T
Melba Antonia,ESTUDIANTE,69,87,F
Otis Reva,EMPLEADO,70,44,F
Corrie Shelley,ESTUDIANTE,71,96,T
Amirah Edmond,PROFESOR,72,31,F
Monique Junior,EMPLEADO,73,18,F
Sidney Mikel,PROFESOR,74,44,F
Sallie Avery,EMPLEADO,75,31,T
Harrell Chauncey,ESTUDIANTE,76,28,T
June Rose,PROFESOR,77,70,T
Rosamond Masao,EMPLEADO,78,82,F
Joan Whitney,EMPLEADO,79,33,F
Lawanda Dominik,EMPLEADO,80,57,F
Maurice Malcolm,PROFESOR,81,18,F
Cora Elyse,ESTUDIANTE,82,61,F
Gale Issac,ESTUDIANTE,83,55,F
Chance Jeff,EMPLEADO,84,48,F
Casey Buck,PROFESOR,85,43,F
Edward Etna,ESTUDIANTE,86,22,T
Bill Cora,ESTUDIANTE,87,25,T
Mammie Loyd,ESTUDIANTE,88,35,F
Nora Earnest,ESTUDIANTE,89,66,F
