NOMBRE,ID_PERSONA,EDAD,CAMARA_COMERCIO,SUPERINTENDENCIA_TURISMO,MIEMBRO_COMUNIDAD
JonasLeslie,312,35,T,F,F
GaylordOren,313,63,F,T,F
WileyClair,314,61,T,T,T
MichelLucian,315,35,T,T,T
ShellyOrin,316,57,T,F,T
SullivanIsom,317,77,T,T,T
HowardPat,318,72,T,F,F
RoeEmmett,319,49,F,F,T
FinleyPercy,320,67,T,F,F
BallardAlmon,321,85,F,T,T
AxelNorman,322,89,T,T,F
ArvidLeroy,323,58,F,F,F
IsraelJohnson,324,18,F,F,T
AlfordIrvin,325,33,T,T,T
OthoMary,326,19,F,T,F
LouisBradley,327,54,T,F,T
GlenJohnson,328,55,F,T,T
SammieMorris,329,21,F,T,T
OrionBert,330,70,F,T,T
HeberNick,331,41,F,T,F
WilbertMilton,332,58,T,T,F
AbramGerald,333,37,F,F,F
SteveDomingo,334,57,T,T,F
IshamChin,335,83,T,F,F
EthelCasper,336,91,F,F,F
CliffordSanford,337,71,F,T,F
WmMac,338,47,F,T,F
LouEssie,339,23,F,F,F
WrightSteve,340,59,T,F,T
EverettMarshall,341,63,F,F,F
JosiahWalter,342,26,F,T,T
PleasGrace,343,82,T,T,T
HaroldMaurice,344,27,F,T,F
MarvinThurman,345,49,T,F,F
JewelChauncey,346,72,F,F,F
LorenzoWatson,347,78,T,F,T
RayMorton,348,34,F,T,T
DennieOren,349,40,T,F,T
EarleRuben,350,72,T,T,F
DennieGustave,351,37,T,F,F
HeneryMax,352,55,T,F,T
JuliusJess,353,57,T,T,F
MitchellMilo,354,80,F,F,F
JimmieLem,355,34,F,T,F
KarlOrrin,356,77,T,F,F
GodfreyMorris,357,43,T,F,F
SimpsonCallie,358,57,T,T,T
AllanAce,359,82,F,F,F
ChinOrrin,360,77,F,F,F
StephenRobert,361,69,T,F,T
GeraldNewt,362,93,F,F,T
EdwinChesley,363,78,F,T,F
LouBilly,364,61,F,F,F
LemPierre,365,19,T,F,T
ThaddeusDudley,366,34,F,T,T
MarcellusFredrick,367,81,T,F,T
KeithMajor,368,60,F,T,T
AbeRollie,369,43,T,F,F
ClarenceSam,370,81,T,T,T
LemonLeander,371,59,T,T,T
OrinCoy,372,24,F,T,T
ElbertLudwig,373,31,T,F,T
BessieIsaiah,374,55,F,F,F
OakleyTravis,375,30,T,T,T
EdgarLouie,376,38,T,F,F
BurnieAlma,377,65,F,T,F
JackTilman,378,61,F,F,F
HarperAlta,379,70,F,F,T
